PUBLISHER,DS_TITULO_AVI,"NM_AUT, DS_RES",DS_PERIODO_PRODUCAO_AVI,NR_DOCUMENTOS_AVI,DS_FISICA_AVI,"SG_FUN, SG_SIGLA_SER, CD_CLASSIFICACAO_AVI",URL,NM_FUN,NM_TIPO_UNIDADE_DOCUMENTAL,DS_SER,"NM_CID_LOCALIDADE, SG_UF_LOCALIDADE, NM_PAIS_LOCALIDADE"
FGV CPDOC,"Ernesto Geisel, Lucy Geisel e outros por ocasião da visita de Ramalho Eanes, presidente de Portugal.",,mai/78,41,41 fots.: p&b; 18 x 24 cm.,EG foto 0529,https://www18.fgv.br/CPDOC/acervo/arquivo-pessoal/EG/audiovisual/ernesto-geisel-lucy-geisel-e-outros-por-ocasiao-da-visita-de-ramalho-eanes-presidente-de-portugal,Ernesto Geisel,Audiovisual,Fotografias,Brasília; DF; Brasil
FGV CPDOC,"Viagem de Negrão de Lima, embaixador do Brasil em Portugal, a Angola",Foto Luz - Estúdio/Agência ; Lello - Fotógrafo,jun/61,9,"9 fots.: p&b; 11,5 x 8cm e 16,5 x 21,5cm",NL foto 011,https://www18.fgv.br/CPDOC/acervo/arquivo-pessoal/NL/audiovisual/viagem-de-negrao-de-lima-embaixador-do-brasil-em-portugal-a-angola,Negrão de Lima,Audiovisual,Fotografias,Angola
FGV CPDOC,Inauguração da estátua do padre Manuel da Nóbrega em Vila Real,Marius - Fotógrafo,ago/59,11,"11 fots.: p&b; 17,5 x 23,5cm",NL foto 008,https://www18.fgv.br/CPDOC/acervo/arquivo-pessoal/NL/audiovisual/inauguracao-da-estatua-do-padre-manuel-da-nobrega-em-vila-real,Negrão de Lima,Audiovisual,Fotografias,Vila Real; Portugal
FGV CPDOC,"Ulisses Guimarães, Nelson Carneiro, Afonso Arinos e outros na embaixada de Portugal",,12/jun./85,3,3 fots.: cor; 10 x 15cm,UG foto 142,https://www18.fgv.br/CPDOC/acervo/arquivo-pessoal/UG/audiovisual/ulisses-guimaraes-nelson-carneiro-afonso-arinos-e-outros-na-embaixada-de-portugal,Ulysses Guimarães,Audiovisual,Fotografias,Brasília; DF; Brasil
FGV CPDOC,"Emílio Garrastazu Médici, Jurandir de Bizarria Mamede e outro durante viagem a Portugal",,entre 1969 e 1974,6,6 fots.: p&b; 14 x 20cm,AnC foto 044,https://www18.fgv.br/CPDOC/acervo/arquivo-pessoal/AnC/audiovisual/emilio-garrastazu-medici-jurandir-de-bizarria-mamede-e-outro-durante-viagem-a-portugal,André Carrazzoni,Audiovisual,Fotografias,Sintra; Portugal
FGV CPDOC,"Gilberto Velho em viagem ao Porto, em 2005",,set./05,6,Coloridas; 10x15 cm à 15x20 cm.,GiV foto 033,https://www18.fgv.br/CPDOC/acervo/arquivo-pessoal/GiV/audiovisual/gilberto-velho-em-viagem-ao-porto-em-2005,Gilberto Velho,Audiovisual,Fotografias,Portugal
FGV CPDOC,Aspectos da embaixada brasileira em Portugal.,,1983-1985,1,"Documento digital. Resolução 75 dpi, formato de acesso JPG; resolução 300 dpi, formato de preservação TIF.",AAS foto 2967,https://www18.fgv.br/CPDOC/acervo/arquivo-pessoal/AAS/audiovisual/aspectos-da-embaixada-brasileira-em-portugal-11,Antônio Azeredo da Silveira,Audiovisual,Fotografias,Lisboa; LISBOA; Portugal
FGV CPDOC,"Despedida do coronel Altino Magalhães, adido militar de Portugal",,23/jul./69,7,7 fots.: p&b; 9 x 12cm,ACM foto 147,https://www18.fgv.br/CPDOC/acervo/arquivo-pessoal/ACM/audiovisual/despedida-do-coronel-altino-magalhaes-adido-militar-de-portugal,Antônio Carlos Murici,Audiovisual,Fotografias,
FGV CPDOC,"Ernesto Geisel, Antônio Azeredo da Silveira e outros por ocasião da visita de Mário Soares, primeiro-ministro de Portugal.","Estado de São Paulo, O - Estúdio/Agência ; Nascimento, Adão - Fotógrafo",Entre 15 dez. 1976 e 16 dez. 1976,28,"28 fots.: p&b; 12,5 x 23 cm a 16 x 25,5 cm.",EG foto 0467,https://www18.fgv.br/CPDOC/acervo/arquivo-pessoal/EG/audiovisual/ernesto-geisel-antonio-azeredo-da-silveira-e-outros-por-ocasiao-da-visita-de-mario-soares-primeiro-ministro-de-portugal,Ernesto Geisel,Audiovisual,Fotografias,Brasília; DF; Brasil
FGV CPDOC,Franco Montoro e Lucy Montoro em viagem a Portugal e encontro com o presidente Mario Alberto Soares,,1986,59,"59 fot.; cor; 12,5 x 17,5 cm",AFM foto 0750,https://www18.fgv.br/CPDOC/acervo/arquivo-pessoal/AFM/audiovisual/franco-montoro-e-lucy-montoro-em-viagem-a-portugal-e-encontro-com-o-presidente-mario-alberto-soares,Franco Montoro,Audiovisual,Fotografias,Lisboa; LISBOA; Portugal
