"Fundo";"Imagem";"PDF";"Autor";"Titulo";"Titulos atríbuidos";"Notas de edição";"Idioma";"Edição / Descrição geral";"Categoria";"Subcategoria";"Legendas";"Descrição Material";"Dimensões";"Bibliografia";"Publicações";"Exposições";"Itens relacionados";"Bloco de notas";"Cota";"Local de conservação";"Estado de conservação";"Proprietário";"Historial";"Datas relacionadas";"Notas à data";"Dedicatário";"Destinatário";"Data";"Locais";"Palavras chave";"Nomes relacionados";"Data inventario";"Inventariante"
"Almada Negreiros e Sarah Affonso";"/images/NAeSA/ANSA-L-109-001.jpg";"";"Negreiros, José de Almada";"Watanuki ";"Watanuki ";"";"Português";"Texto dactilografado; texto final de uma conferência não identificada.";"Literatura";"Conferência";"";"Dactilografado a tinta preta em folha branca lisa.";"";"";"";"";"";"";"ANSA-L-109";"Informação Protegida";"Bom";"Colecção Particular";"";"Sem data";"";"";"";"Sem data";"";"";"Watanuki, Hirosuke";"";"Luísa Medeiros"
"Almada Negreiros e Sarah Affonso";"/images/NAeSA/ANSA-L-68-001_edited-1.png";"";"Negreiros, José de Almada";"Vera";"";"";"Português";"Manuscrito de fragmento de narrativa ficcional. ";"Literatura";"Ficção / Fragmentos";"";"4 páginas manuscritas a tinta preta em folhas quadriculadas. ";"31,5 x 21,5 cm";"";"";"";"";"";"ANSA-L-68-1 a ANSA-L-68-4";"Informação Protegida";"Razoável: marcas de humidade. ";"Colecção Particular";"";"Sem data";"";"";"";"Sem data";"";"";"";"";"Sílvia Laureano Costa"
"Almada Negreiros e Sarah Affonso";"/images/NAeSA/ANSA-L-156-001.JPG";"";"Negreiros, José de Almada";"Ver";"Ver";"";"Português";"Fragmentos do ensaio ""Ver"", com esboços de figurinos nos versos. ";"Literatura";"Ensaio / Fragmentos";"";"13 páginas manuscritas em 7 folhas lisas de desenho, a tinta verde, preta e lápis, ";"32 x 22 cm";"";"";"";"";"";"ANSA-L-156-1 a ANSA-L-156-7";"Informação Protegida";"Bom ";"Colecção Particular";"";"1943";"Atribuída de acordo com a data da escrita do ensaio ""Ver"". ";"";"";"1943";"";"";"";"";"Sílvia Laureano Costa"
"Almada Negreiros e Sarah Affonso";"/images/NAeSA/ANSA-L-157-001_Medium.jpeg";"";"Negreiros, José de Almada";"Vale mais a vida do que a existência/ ou/ Acção:/ Acção directa e indirecta ";"Vale mais a vida do que a existência/ ou/ Acção:/ Acção directa e indirecta ";"";"Português";"Ensaios fragmentários sobre: ""acção directa""; ""acção indirecta""; nacionalidade, política e identidade.";"Literatura";"Ensaio / Fragmentos";"";"Papel almaço, cinco páginas manuscritas a tinta preta e lápis.";"";"";"";"";"";"";"ANSA-L-157";"Informação Protegida";"Bom";"Colecção Particular";"";"1937 1938 1939 1940 1941 1942 1943 1944 1945 1946 1947 1948 1949 1950 1951 1952 1953 1954 1955 1956 1957 1958 1959 1960 1961 1962 1963 1964 1965 1966 1967 1968 1969 1970";"Data atribuída.";"";"";"depois de 1937";"";"Apontamento Política";"";"";"Gonçalo Rodrigues"
"Almada Negreiros e Sarah Affonso";"/images/NAeSA/Um_quarto_humilde_numa_pequena_pens__o_de_prov__ncia.jpg";"";"Negreiros, José de Almada";"Um quarto humilde numa pequena pensão de província";"Um quarto humilde numa pequena pensão de província";"";"Português";"Diálogo teatral entre a 1.ª voz e a 2.ª voz. ";"Literatura";"Teatro";"";"Duas páginas dactiloscritas a tinta azul em duas folhas lisas azuis. ";"27 x 21 cm";"";"França, José-Augusto, ""Nota sobre quatro inéditos de Almada Negreiros"", Colóquio Letras, 149/150, Fundação Calouste Gulbenkian, Julho-Dezembro, 1998, Lisboa, pp. 233-234.";"";"";"";"ANSA-L-131-1 a ANSA-L-131-2";"Informação Protegida";"Bom";"Colecção Particular";"";"Sem data";"";"";"";"Sem data";"";"";"";"";"Sílvia Laureano Costa"
"Almada Negreiros e Sarah Affonso";"/images/NAeSA/ANSA-L-137-001.jpg";"";"Negreiros, José de Almada";"Um a mais";"Um a mais";"";"Português";"Manuscrito de peça de teatro, incompleto. ";"Literatura";"Teatro";"";"Folhas dobradas em quatro, quadriculadas de um lado e lisas do outro. 7 páginas manuscritas a tinta azul. ";"33 x 25 cm (folhas dobradas)";"";"";"";"ANSA-L-135ANSA-L-94ANSA-IMP-21";" No catálogo ""Galeria de Março 1"" (29 de março a 15 de abril, ANSA-IMP-21, pode ler-se a seguinte referência: ""Durante a Exposição, no mesmo ou noutro local, o Autor fará uma primeira apresentação de duas obras suas: ""A Relação Nove-Dez, ou os Poliedros Regulares"" e ""Um a Mais"" diálogo representável à maneira de teatro, em 2 actos consecutivos"".    Peça de teatro referida na tábua bibliográfica feita por Almada Negreiros para as ""Obras Completas"" da Ática: ANSA-L-94. ";"ANSA-L-137-1 a ANSA-L-137-5";"Informação Protegida";"Bom";"Colecção Particular";"";"1951";"Data atribuída de acordo com data inscrita em manuscrito relacionado: ANSA-L-135.";"";"";"1951";"Lisboa";"";"";"";"Sílvia Laureano Costa"
"Almada Negreiros e Sarah Affonso";"/images/NAeSA/ANSA-L-136-010_Medium.jpeg";"";"Negreiros, José de Almada";"Um a mais";"Um a mais  ";"";"Português";"Manuscrito incompleto de peça de teatro. ";"Literatura";"Teatro";"";"10 páginas manuscritas a esferográfica azul, em folhas pautadas. ";"32,5 x 22 cm";"";"";"";"ANSA-L-135ANSA-L-137ANSA-L-94";"Peça mencionada na tábua bibliográfica feita por Almada Negreiros para as ""Obras Completas da Ática"": ANSA-L-94.";"ANSA-L-136-1 a ANSA-L-136-10";"Informação Protegida";"Bom";"Colecção Particular";"";"1951";"Data data atribuída de acordo com o manuscrito análogo: ANSA-L-135.";"";"";"1951";"Lisboa";"";"";"";"Sílvia Laureano Costa"
"Almada Negreiros e Sarah Affonso";"/images/NAeSA/ANSA-L-135.jpg";"";"Negreiros, José de Almada";"Um a Mais Teatro";"";"";"Português";"""Um a mais"": capa e fragmento manuscrito de peça de teatro, inclui esboço de cenário e figurinos.""Teatro"": fragmento manuscrito de um ensaio sobre teatro. ";"Literatura";"Cenários e Figurinos / Ensaio / Fragmentos / Teatro";"";"Cinco folhas lisas, quatro páginas manuscritas a tinta azul, uma página esboço cenário e figurinos a lápis. ";"27,5 x 21 cm";"";"";"";"ANSA-L-94";"Peça mencionada na tábua bibliográfica feita por Almada Negreiros para as ""Obras Completas"" da Ática: ANSA-L-94.";"ANSA-L-135";"Informação Protegida";"Bom";"Colecção Particular";"";"1951";"Data inscrita.";"";"";"1951";"Lisboa";"";"";"";"Sílvia Laureano Costa"
"Almada Negreiros e Sarah Affonso";"/images/NAeSA/ANSA-L-43-001.jpg";"";"Negreiros, José de Almada";"Todos os portugueses que amam a sua terra";"Todos os portugueses que amam a sua terra";"";"Português";"Texto sobre os painéis de S. Vicente de Fora, assinado.";"Literatura";"Painéis de S. Vicente / Artigos Ensaio";"Data e assinatura do autor inscritas no final do texto:  'Sintra Março 26' 'José de Almada-Negreiros'";"Uma página manuscrita a lápis.";"";"";"";"";"ANSA-RI-244";"Texto que se relaciona com um artigo sobre os Painéis de S.Vicente, publicado no ""Diário de Notícias"", com a data de 17 de Março de 1926 (cota: ANSA-RI-244).";"ANSA-L-43-1";"Informação Protegida";"Bom";"Colecção Particular";"";"1926";"";"";"";"1926, Março";"";"Painéis";"Infante D. Fernando Gonçalves, Nuno";"";"Gonçalo Rodrigues"
"Almada Negreiros e Sarah Affonso";"/images/NAeSA/ANSA-L-103-001_edited-1.png";"";"Negreiros, José de Almada";"Título possível";"Título possível";"";"Português";"Frase de possível título ao alto, e uma palavra (""prostituição"") escrita a verde, mas de outra mão. ";"Literatura";"Poesia";"";"Tinta verde sobre folha azul.";"";"";"";"";"";"";"ANSA-L-103";"Informação Protegida";"Razoável";"Colecção Particular";"";"Sem data";"";"";"";"Sem data";"";"";"";"";"Fernando Cabral Martins"
