Fundo,Imagem,PDF,Autor,Titulo,Titulos atríbuidos,Notas de edição,Idioma,Edição / Descrição geral,Categoria,Subcategoria,Legendas,Descrição Material,Dimensões,Itens relacionados,Cota,Data,Locais,Palavras chave,Identificador
Almada Negreiros e Sarah Affonso,https://modernismo.pt//images/NAeSA/ANSA-IMP-103.jpg,,"Manso, Joaquim / Negreiros, José Sobral de Almada", O pórtico e a nave,,,Português,"Um exemplar deJoaquim Manso, O pórtico e a nave (Conferências), Edição da Livraria Bertrand, Ática, Lisboa,1943.Capa e ilustrações de José Sobral de Almada Negreiros",Espólio Documental,Livro,,356 páginas. Ilustrações de Almada Negreiros protegidas com papel vegetal.,"23,5 x 15 cm",,ANSA-IMP-103,1943,Lisboa,Livor Capa Ilustração Conferência,https://modernismo.pt/index.php/arquivo-almada-negreiros/details/33/3687
Almada Negreiros e Sarah Affonso,https://modernismo.pt//images/NAeSA/ANSA-IMP-83.jpg,,Desconhecido,"""10 gravuras riscadas em vidros acrílicos"" / Almada Negreiros",,,Português,"Duas cópias (ANSA-IMP-83 ANSA-IMP-83 A)do folheto de apresentação da exposição ""10 gravuras riscadas em vidros acrílicos"" / Almada Negreiros. A exposição foi realizada na cooperativa Gravura, em Junho de 1963. Os dois exemplares são acompanhado do envelope da Sociedade Cooperativa de Gravadores Portugueses (ANSA-IMP-83.1).",Espólio Documental,Folheto,,Papel impresso a preto e vermelho. ,33 x 24 cm,ANSA-IMP-85,ANSA-IMP-83,1963 Jun,Lisboa,"Exposição, gravuras",https://modernismo.pt/index.php/arquivo-almada-negreiros/details/33/3649
Almada Negreiros e Sarah Affonso,https://modernismo.pt//images/NAeSA/ANSA-A-1058_conv.jpg,,Almada Negreiros,"""A geometria é anterior à aritmética""",,"As cerca de cem folhas, do mesmo papel e dimensões (ANSA-A-1041 a ANSA-A-1142) têm todas uma quadrícula a lápis, feita à mão, que lhes confere coerência formal. Isto não quer dizer que sejam uma só obra, completa; parecem ser várias sequências distintas de experimentação geométrica, com algum texto.",Português,"Página de uma espécie de caderno de folhas de grandes dimensões, que começa com texto e se desenvolve de seguida em desenhos geométricos.",Arte / Geometria,,,Lápis e caneta de tinta preta sobre papel,61 x 43 cm,ANSA-A-1041 a ANSA-A-1142,ANSA-A-1058,1950-1960,,,https://modernismo.pt/index.php/arquivo-almada-negreiros/details/33/2552
Almada Negreiros e Sarah Affonso,https://modernismo.pt//images/NAeSA/ANSA-A-1225-1.jpg,,"Negreiros, José de Almada","""A porta da harmonia""",,,Português,"Esboços para “Porta da Harmonia” e “Ponto de Bauhutte”.Três folhas com desenhos explicativos das pinturas com os respectivos títulos, de 1957 (FCG).Refera ainda a expressão «""pintar o sete"" (provéribio português)»",Arte / Geometria,,,Caneta de tinta preta sobre papel,27 x 21 cm,"ANSA-A-1225 a 1228 (conjunto de papéis iguais, que conservados juntos)",ANSA-A-1225,1957,,,https://modernismo.pt/index.php/arquivo-almada-negreiros/details/33/3350
Almada Negreiros e Sarah Affonso,https://modernismo.pt//images/NAeSA/ANSA-A-1691.JPG,,"Negreiros, José de Almada","""Abcissa""",,Título inscrito num dos desenhos.,,"Conjunto de 6 desenhos abstractos, geometrizados. ANSA-A-1691-1 a ANSA-A-1691-6",Arte,,,Grafite e esferográfica azul sobre papel,27 x 21 cm,,ANSA-A-1691,Sem data,,,https://modernismo.pt/index.php/arquivo-almada-negreiros/details/33/4554
Almada Negreiros e Sarah Affonso,https://modernismo.pt//images/NAeSA/ANSA-A-1056_conv.jpg,,Almada Negreiros,"""Dei-lhes  belo achado do número""",,"As cerca de cem folhas, do mesmo papel e dimensões (ANSA-A-1041 a ANSA-A-1142) têm todas uma quadrícula a lápis, feita à mão, que lhes confere coerência formal. Isto não quer dizer que sejam uma só obra, completa; parecem ser várias sequências distintas de experimentação geométrica, com algum texto.",Português,"Página de uma espécie de caderno de folhas de grandes dimensões, que começa com texto e se desenvolve de seguida em desenhos geométricos.Inclui duas citações, de Ésquilo e Raimundo Lúlio, iguais às que Almada aplica na tapeçaria ""Número"", do Tribunal de Contas.",Arte / Geometria,,,Lápis e esferográfica verde sobre papel,61 x 43 cm,ANSA-A-1041 a ANSA-A-1142,ANSA-A-1056,1950-1960,,,https://modernismo.pt/index.php/arquivo-almada-negreiros/details/33/2550
Almada Negreiros e Sarah Affonso,https://modernismo.pt//images/NAeSA/ANSA-C-256-1.jpeg,,Almada Negreiros,"""Ecce Homo""","As várias partes da investigação de Almada, divididas por tema e tipologia",Assinado,Português,"As várias partes da investigação de Almada, divididas por tema e tipologia e subdivididas em XI pontos.",Arte / Espólio Documental / Geometria,,,"Uma folha lisa inscrita a caneta de tinta preta, dobrada ao meio.","25,5 x 18 cm (dobrada)",,ANSA-C-256,Década de 1960,MNAA; Lisboa; Batalha; Portugal,,https://modernismo.pt/index.php/arquivo-almada-negreiros/details/33/2450
Almada Negreiros e Sarah Affonso,https://modernismo.pt//images/NAeSA/Ansa-C-145-002.jpg,,"Negreiros, José de Almada","""FIGURA SUPERFLUA EXERRORE""Leonardo da Vinci",,Assinado “almada” ,Português / Francês,"Além da capa, o caderno tem algumas páginas inscritas, sem ordem aparente, com estudos geométricos semelhantes aos do painel Começar, reportando-se à Média e Extrema Razão, aos números primos e à divisão da circunferência em partes iguais.Lê-se ainda:""je 'arouve [possivelmente seria ""je trouve""]: j'ai cherché comme le nombre serait pour le poéte""",Geometria,,,"Caderno de argolas com folhas quadriculadas, inscritos a grafite e esferográficas coloridass.","22 x 17,5 cm",,ANSA-C-145,c. 1965-1968,,,https://modernismo.pt/index.php/arquivo-almada-negreiros/details/33/5350
Almada Negreiros e Sarah Affonso,https://modernismo.pt//images/NAeSA/ANSA-A-1097_conv.jpg,,Almada Negreiros,"""grau""",Estudos geométricos,"As cerca de cem folhas, do mesmo papel e dimensões (ANSA-A-1041 a ANSA-A-1142) têm todas uma quadrícula a lápis, feita à mão, que lhes confere coerência formal. Isto não quer dizer que sejam uma só obra, completa; parecem ser várias sequências distintas de experimentação geométrica, com algum texto.",Português,"Página de uma espécie de caderno de folhas de grandes dimensões, que começa com texto e se desenvolve de seguida em desenhos geométricos.Estudo que relaciona a relação 9/10 com o grau (1/360 partes da circunferência).Título inscrito",Geometria,,,Lápis e esferográfica preta sobre papel,61 x 43 cm,ANSA-A-1041 a ANSA-A-1142,ANSA-A-1097,1950-1960,,,https://modernismo.pt/index.php/arquivo-almada-negreiros/details/33/2611
Almada Negreiros e Sarah Affonso,https://modernismo.pt//images/NAeSA/ANSA-A-1631-1.JPG,,Almada Negreiros,"""HEC. FIGURA.ESTSUPERFLUA.EXERRORE.""",,,Português / Francês,"Conjunto de 32 folhas (ANSA-A-1631-1 a ANSA-A-1631-32) com texto (em francês e português), arranjos gráficos para capas e desenhos sobre temas geométricos vários:- Ver- Theleon- Antigraphia- Relação 9/10- Linguagem do quadrado (Le Carré)- Painéis de S. Vicente (proporções e a Vara)- Vaso de Suse- Cnossos- Figura Superflua Exerrore",Arte / Geometria,Desenho,,Materiais riscadores vários sobre papel quadriculado ,45 x 67 cm,,ANSA-A-1631,Sem data,,,https://modernismo.pt/index.php/arquivo-almada-negreiros/details/33/4494
