Coluna #,Coluna,propriedade dublin core,notas sobre o mapeamento
0,PUBLISHER,dc:publisher,
1,NM_TIT_ENTREVISTA,dc:title,
2,NM_ENTREVISTADOR,dc:creator,
3,DT_SESS_GRAV,dc:date,
4,"QT_HR_SESS_GRAV, QT_MIN_SESS_GRAV",dc:format,
5,DS_CONDICAO_ACESSO,dc:format,
6,DS_DEL,dc:subject,
7,DS_RESUMO_FICHA_TEC,dc:description,
8,CD_ENTREVISTA,dc:identifier,
9,URL,dc:identifier,
10,NM_TIT_PROJETO,dc:relation,
11,NM_TIPO_UNIDADE_DOCUMENTAL,dc:type,
12,IN_TIP_ENTREVISTA,dc:type,
13,"NM_CID_LOCALIDADE, SG_UF_LOCALIDADE, NM_PAIS_LOCALIDADE",dc:coverage,
